"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"","655","test_login","Tests","Fri May 08 19:13:04 UTC 2026","passed","Fri May 08 19:13:04 UTC 2026","","test_login_pom","",""
"","2707","test_full_purchase_flow","Tests","Fri May 08 19:13:05 UTC 2026","passed","Fri May 08 19:13:08 UTC 2026","","test_login_pom","",""
"","8151","test_purchase_flow","Tests","Fri May 08 19:13:08 UTC 2026","passed","Fri May 08 19:13:16 UTC 2026","","test_purchase_pom","",""
